Species,species
Acidaminococcus_intestini,Acidaminococcus intestini
Acidaminococcus_sp_CAG_542,Acidaminococcus sp. CAG:542
Actinomyces_naeslundii,Actinomyces naeslundii
Actinomyces_odontolyticus,Actinomyces odontolyticus
Actinomyces_oris,Actinomyces oris
Actinomyces_sp_HMSC035G02,Actinomyces sp. HMSC035G02
Actinomyces_sp_ICM47,Actinomyces sp. ICM47
Actinomyces_sp_oral_taxon_448,Actinomyces sp. oral taxon 448
Adlercreutzia_equolifaciens,Adlercreutzia equolifaciens
Agathobaculum_butyriciproducens,Agathobaculum butyriciproducens
Akkermansia_muciniphila,Akkermansia muciniphila
Alistipes_finegoldii,Alistipes finegoldii
Alistipes_indistinctus,Alistipes indistinctus
Alistipes_inops,Alistipes inops
Alistipes_onderdonkii,Alistipes onderdonkii
Alistipes_putredinis,Alistipes putredinis
Alistipes_shahii,Alistipes shahii
Allisonella_histaminiformans,Allisonella histaminiformans
Alloscardovia_omnicolens,Alloscardovia omnicolens
Anaeromassilibacillus_sp_An250,Anaeromassilibacillus sp. An250
Anaerostipes_hadrus,Anaerostipes hadrus
Anaerotruncus_colihominis,Anaerotruncus colihominis
Anaerotruncus_sp_CAG_528,Anaerotruncus sp. CAG:528
Asaccharobacter_celatus,Asaccharobacter celatus
Atopobium_deltae,Atopobium deltae
Bacteroides_caccae,Bacteroides caccae
Bacteroides_cellulosilyticus,Bacteroides cellulosilyticus
Bacteroides_clarus,Bacteroides clarus
Bacteroides_coprophilus,Bacteroides coprophilus
Bacteroides_dorei,Bacteroides dorei
Bacteroides_eggerthii,Bacteroides eggerthii
Bacteroides_faecis,Bacteroides faecis
Bacteroides_faecis_CAG_32,Bacteroides faecis CAG:32
Bacteroides_finegoldii,Bacteroides finegoldii
Bacteroides_fragilis,Bacteroides fragilis
Bacteroides_galacturonicus,Bacteroides galacturonicus
Bacteroides_intestinalis,Bacteroides intestinalis
Bacteroides_massiliensis,Bacteroides massiliensis
Bacteroides_nordii,Bacteroides nordii
Bacteroides_ovatus,Bacteroides ovatus
Bacteroides_pectinophilus,[Bacteroides] pectinophilus
Bacteroides_plebeius,Bacteroides plebeius
Bacteroides_salyersiae,Bacteroides salyersiae
Bacteroides_sp_CAG_530,Bacteroides sp. CAG:530
Bacteroides_stercoris,Bacteroides stercoris
Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron
Bacteroides_uniformis,Bacteroides uniformis
Bacteroides_vulgatus,Bacteroides vulgatus
Bacteroides_xylanisolvens,Bacteroides xylanisolvens
Barnesiella_intestinihominis,Barnesiella intestinihominis
Bifidobacterium_adolescentis,Bifidobacterium adolescentis
Bifidobacterium_animalis,Bifidobacterium animalis
Bifidobacterium_bifidum,Bifidobacterium bifidum
Bifidobacterium_catenulatum,Bifidobacterium catenulatum
Bifidobacterium_dentium,Bifidobacterium dentium
Bifidobacterium_longum,Bifidobacterium longum
Bifidobacterium_pseudocatenulatum,Bifidobacterium pseudocatenulatum
Bilophila_wadsworthia,Bilophila wadsworthia
Blastocystis_sp_subtype_1,Blastocystis sp. subtype 1
Blautia_obeum,Blautia obeum
Blautia_sp_CAG_257,Blautia sp. CAG:257
Blautia_wexlerae,Blautia wexlerae
Brachyspira_sp_CAG_700,Brachyspira sp. CAG:700
Butyricimonas_virosa,Butyricimonas virosa
Butyrivibrio_crossotus,Butyrivibrio crossotus
Butyrivibrio_sp_CAG_318,Butyrivibrio sp. CAG:318
Catenibacterium_mitsuokai,Catenibacterium mitsuokai
