"","gene","pvalue_vf","beta_vf.1","beta_vf.2","qvalue"
"1","srtC",0.06593407,-1.7448213, 2.7982264,0.8871129
"2","fss1",0.06893107,-1.7448213, 2.7982264,0.8871129
"3","ebpC",0.07192807,-1.7448213, 2.7982264,0.8871129
"4","iucC",0.22477522, 0.4767709,-0.5719291,1.0000000
"5","iucB",0.23576424, 0.4767709,-0.5719291,1.0000000
"6","fimC",0.24275724, 0.4767709,-0.5719291,1.0000000
"7","chuS",0.24575425, 0.4767709,-0.5719291,1.0000000
"8","chuY",0.25074925, 0.4767709,-0.5719291,1.0000000
"9","fimE",0.26773227, 0.4767709,-0.5719291,1.0000000
"10","kpsM",0.27872128, 0.4767709,-0.5719291,1.0000000
"11","aslA",1.00000000, 1.3883214,-1.3370612,1.0000000
"12","entA",1.00000000, 2.0454067,-1.9941379,1.0000000
"13","entB",1.00000000, 2.0454067,-1.9941379,1.0000000
"14","entE",1.00000000, 2.0454067,-1.9941379,1.0000000
"15","entS",1.00000000, 2.0454067,-1.9941379,1.0000000
"16","espX4",1.00000000, 1.3883214,-1.3370612,1.0000000
"17","espX5",1.00000000, 1.3883214,-1.3370612,1.0000000
"18","fepA",1.00000000, 1.7730169,-1.7217516,1.0000000
"19","fepB",1.00000000, 2.0454067,-1.9941379,1.0000000
"20","fepC",1.00000000, 2.0454067,-1.9941379,1.0000000
"21","fepG",1.00000000, 0.6040913,-0.5528495,1.0000000
"22","fes",1.00000000, 1.7730169,-1.7217516,1.0000000
"23","fimD",1.00000000, 1.3883214,-1.3370612,1.0000000
"24","fimG",1.00000000, 0.6040913,-0.5528495,1.0000000
"25","ompA",1.00000000, 1.7730169,-1.7217516,1.0000000
"26","yagW/ecpD",1.00000000, 1.3883214,-1.3370612,1.0000000
"27","yagX/ecpC",1.00000000, 1.3883214,-1.3370612,1.0000000
"28","yagY/ecpB",1.00000000, 1.7730169,-1.7217516,1.0000000
"29","yagZ/ecpA",1.00000000, 2.0454067,-1.9941379,1.0000000
"30","gspD",1.00000000, 0.6040881,-0.5528462,1.0000000
"31","gspF",1.00000000, 0.1676582,-0.1164301,1.0000000
"32","gspH",1.00000000, 0.1676582,-0.1164301,1.0000000
"33","gspI",1.00000000, 0.1676582,-0.1164301,1.0000000
"34","gspJ",1.00000000, 0.1676582,-0.1164301,1.0000000
"35","gspK",1.00000000, 0.1676582,-0.1164301,1.0000000
"36","gspL",1.00000000, 0.1676582,-0.1164301,1.0000000
"37","gspM",1.00000000, 0.1676582,-0.1164301,1.0000000
