clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.2399	4.84313	15952240
k__Archaea	2157	1.7601	0.08677	153360
k__Bacteria|p__Bacteroidetes	2|976	42.42236	2.09138	7154039
k__Bacteria|p__Firmicutes	2|1239	40.30057	1.98678	5657707
k__Bacteria|p__Proteobacteria	2|1224	11.05606	0.54505	2595011
k__Bacteria|p__Actinobacteria	2|201174	2.72803	0.13449	303235
k__Archaea|p__Euryarchaeota	2157|28890	1.7601	0.08677	153360
k__Bacteria|p__Spirochaetes	2|203691	1.42011	0.07001	199217
k__Bacteria|p__Verrucomicrobia	2|74201	0.31276	0.01542	43031
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	42.42236	2.09138	7154039
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	37.44273	1.84589	5319882
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	9.33671	0.46029	2359127
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.2265	0.10976	263631
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.18482	0.10771	240430
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.7601	0.08677	153360
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	1.42011	0.07001	199217
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.9565	0.04715	130512
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.73346	0.03616	102410
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.54322	0.02678	62805
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.35131	0.01732	43634
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.31276	0.01542	43031
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.22805	0.01124	22839
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.05199	0.00256	7721
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.02938	0.00145	2962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	42.42236	2.09138	7154039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	37.44273	1.84589	5319882
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	9.33671	0.46029	2359127
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.2265	0.10976	263631
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.89473	0.09341	204623
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.7601	0.08677	153360
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	1.25232	0.06174	178881
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.9565	0.04715	130512
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.73346	0.03616	102410
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.54322	0.02678	62805
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.35131	0.01732	43634
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.31276	0.01542	43031
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.29008	0.0143	35807
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.1678	0.00827	20336
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.12873	0.00635	14513
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.09932	0.0049	8326
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.05199	0.00256	7721
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.02938	0.00145	2962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	24.44974	1.20535	4886772
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	21.35351	1.05271	3552714
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	13.07694	0.64468	1613808
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	9.84408	0.4853	932702
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	9.33671	0.46029	2359127
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.00742	0.24686	734579
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	4.31897	0.21292	537319
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	2.2265	0.10976	263631
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.89473	0.09341	204623
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.7601	0.08677	153360
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	2|203691|203692|136|137	1.25232	0.06174	178881
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.21214	0.05976	96299
