clade_name	clade_taxid	profiled_HDW-D03-S37	profiled_HDW-D03-S35	profiled_HDW-D03-S34	profiled_HDW-D03-S33	profiled_HDW-D03-S32	profiled_HDW-D03-S31	profiled_HDW-D03-S28	profiled_HDW-D03-S27	profiled_HDW-D03-S26	profiled_HDW-D03-S25	profiled_HDW-C02-S115	profiled_HDW-C02-S113	profiled_HDW-C02-S112	profiled_HDW-C02-S111	profiled_HDW-C02-S106	profiled_HDW-C02-S104
k__Archaea	2157	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.55446	0.04265	8.60465	1.7601	0.64225	0.24063
k__Archaea|p__Euryarchaeota	2157|28890	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.55446	0.04265	8.60465	1.7601	0.64225	0.24063
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.55446	0.04265	8.60465	1.7601	0.64225	0.24063
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.55446	0.04265	8.60465	1.7601	0.64225	0.24063
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.55446	0.04265	8.60465	1.7601	0.64225	0.24063
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.45279	0.04265	8.14957	1.7601	0.61483	0.24063
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	1.79043	1.3287	0.1902	0	0	0	0	0.03666	2.90786	4.45279	0.04265	8.14957	1.7601	0.61483	0.24063
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0.10167	0	0.45507	0	0.02742	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0.10167	0	0.45507	0	0.02742	0
k__Bacteria	2	100.0	98.20957	98.6713	99.8098	100.0	100.0	100.0	100.0	99.96127	96.99968	95.44554	99.95735	91.39535	98.2399	99.35775	99.75937
k__Bacteria|p__Actinobacteria	2|201174	3.6372	4.50154	2.94617	7.42783	0.59568	3.61296	9.74864	8.7457	1.06439	4.48063	8.11969	5.12389	17.08936	2.72803	4.86094	1.58782
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.46485	2.2858	0.56642	0.86513	0.04936	0.97092	7.70142	7.76509	0.04226	1.87725	0.66663	1.59288	7.62382	0.54322	4.31865	0.00106
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0	0	0	0	0	0	0	0	0	0.00751	0	0.03611	0.01621	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0	0	0	0	0	0	0	0.00751	0	0.03611	0.01621	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0	0	0	0	0	0	0.00751	0	0.03611	0.01621	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0	0	0	0	0	0	0	0.00069	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0	0	0	0	0	0	0.00751	0	0.01805	0.00281	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0	0	0	0	0	0	0	0	0.00986	0.00045	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.00385	0	0	0
