Species,reformated
Absiella_dolichum,Absiella dolichum
Acetobacter_sp_CAG_267,Acetobacter sp. CAG:267
Acidaminococcus_intestini,Acidaminococcus intestini
Acinetobacter_johnsonii,Acinetobacter johnsonii
Actinobaculum_sp_oral_taxon_183,Actinobaculum sp. oral taxon 183
Actinomyces_graevenitzii,Actinomyces graevenitzii
Actinomyces_naeslundii,Actinomyces naeslundii
Actinomyces_odontolyticus,Actinomyces odontolyticus
Actinomyces_oris,Actinomyces oris
Actinomyces_sp_HMSC035G02,Actinomyces sp. HMSC035G02
Actinomyces_sp_HPA0247,Actinomyces sp. HPA0247
Actinomyces_sp_ICM47,Actinomyces sp. ICM47
Actinomyces_sp_oral_taxon_181,Actinomyces sp. oral taxon 181
Actinomyces_sp_oral_taxon_448,Actinomyces sp. oral taxon 448
Actinomyces_sp_S6_Spd3,Actinomyces sp. S6 Spd3
Actinomyces_turicensis,Actinomyces turicensis
Actinomyces_viscosus,Actinomyces viscosus
Agathobaculum_butyriciproducens,Agathobaculum butyriciproducens
Aggregatibacter_aphrophilus,Aggregatibacter aphrophilus
Aggregatibacter_sp_oral_taxon_458,Aggregatibacter sp. oral taxon 458
Akkermansia_muciniphila,Akkermansia muciniphila
Alistipes_finegoldii,Alistipes finegoldii
Alistipes_indistinctus,Alistipes indistinctus
Alistipes_inops,Alistipes inops
Alistipes_obesi,Alistipes obesi
Alistipes_onderdonkii,Alistipes onderdonkii
Alistipes_putredinis,Alistipes putredinis
Alistipes_shahii,Alistipes shahii
Alistipes_sp_CAG_268,Alistipes sp. CAG:268
Alistipes_sp_CAG_435,Alistipes sp. CAG:435
Alistipes_sp_CAG_514,Alistipes sp. CAG:514
Alistipes_timonensis,Alistipes timonensis
Allisonella_histaminiformans,Allisonella histaminiformans
Alloprevotella_rava,Alloprevotella rava
Alloscardovia_omnicolens,Alloscardovia omnicolens
Anaerococcus_lactolyticus,Anaerococcus lactolyticus
Anaerococcus_vaginalis,Anaerococcus vaginalis
Anaerofustis_stercorihominis,Anaerofustis stercorihominis
Anaeromassilibacillus_sp_An250,Anaeromassilibacillus sp. An250
Anaerostipes_caccae,Anaerostipes caccae
Anaerostipes_hadrus,Anaerostipes hadrus
Anaerotignum_lactatifermentans,Anaerotignum lactatifermentans
Anaerotruncus_colihominis,Anaerotruncus colihominis
Anaerotruncus_sp_CAG_390,Anaerotruncus sp. CAG:390
Anaerotruncus_sp_CAG_528,Anaerotruncus sp. CAG:528
Asaccharobacter_celatus,Asaccharobacter celatus
Atopobium_parvulum,Atopobium parvulum
Atopobium_vaginae,Atopobium vaginae
Azospirillum_sp_47_25,Azospirillum sp. 47 25
Azospirillum_sp_CAG_260,Azospirillum sp. CAG:260
Bacteroides_caccae,Bacteroides caccae
Bacteroides_caecimuris,Bacteroides caecimuris
Bacteroides_cellulosilyticus,Bacteroides cellulosilyticus
Bacteroides_clarus,Bacteroides clarus
Bacteroides_coagulans,Bacteroides coagulans
Bacteroides_coprocola,Bacteroides coprocola
Bacteroides_coprophilus,Bacteroides coprophilus
Bacteroides_dorei,Bacteroides dorei
Bacteroides_eggerthii,Bacteroides eggerthii
Bacteroides_faecichinchillae,Bacteroides faecichinchillae
Bacteroides_faecis,Bacteroides faecis
Bacteroides_finegoldii,Bacteroides finegoldii
Bacteroides_fragilis,Bacteroides fragilis
Bacteroides_galacturonicus,Bacteroides galacturonicus
Bacteroides_intestinalis,Bacteroides intestinalis
Bacteroides_massiliensis,Bacteroides massiliensis
Bacteroides_nordii,Bacteroides nordii
Bacteroides_ovatus,Bacteroides ovatus
Bacteroides_pectinophilus,[Bacteroides] pectinophilus
Bacteroides_plebeius,Bacteroides plebeius
Bacteroides_salyersiae,Bacteroides salyersiae
Bacteroides_sartorii,Bacteroides sartorii
Bacteroides_sp_CAG_1076,Bacteroides sp. CAG:1076
Bacteroides_sp_CAG_144,Bacteroides sp. CAG:144
Bacteroides_sp_CAG_443,Bacteroides sp. CAG:443
Bacteroides_sp_CAG_545,Bacteroides sp. CAG:545
Bacteroides_sp_CAG_709,Bacteroides sp. CAG:709
Bacteroides_sp_CAG_754,Bacteroides sp. CAG:754
Bacteroides_sp_CAG_927,Bacteroides sp. CAG:927
Bacteroides_sp_D2,Bacteroides sp. D2
Bacteroides_sp_OM08_11,Bacteroides sp. OM08 11
Bacteroides_stercorirosoris,Bacteroides stercorirosoris
Bacteroides_stercoris,Bacteroides stercoris
Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron
Bacteroides_uniformis,Bacteroides uniformis
Bacteroides_vulgatus,Bacteroides vulgatus
Bacteroides_xylanisolvens,Bacteroides xylanisolvens
Barnesiella_intestinihominis,Barnesiella intestinihominis
Barnesiella_sp_An22,Barnesiella sp. An22
Bifidobacterium_adolescentis,Bifidobacterium adolescentis
Bifidobacterium_angulatum,Bifidobacterium angulatum
Bifidobacterium_animalis,Bifidobacterium animalis
Bifidobacterium_bifidum,Bifidobacterium bifidum
Bifidobacterium_breve,Bifidobacterium breve
Bifidobacterium_catenulatum,Bifidobacterium catenulatum
