#FILE	NUM_FOUND	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Im	ACI-1	ACT-27	ANT(3'')-IIa	ANT(6)-Ib	APH(2'')-IIa	APH(2'')-IVa	APH(2'')-Ig	APH(3'')-Ib	APH(3')-IIIa	APH(3')-Ia	APH(3')-VIIa	APH(6)-Id	Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin	Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin	CRP	Campylobacter_coli_chloramphenicol_acetyltransferase	CblA-1	CcrA_beta-lactamase	CfxA	CfxA2	CfxA3	CfxA4	CfxA5	CfxA6	Enterobacter_cloacae_acrA	EreD	ErmB	ErmF	ErmG	ErmQ	ErmX	Escherichia_coli_acrA	Escherichia_coli_ampC	Escherichia_coli_ampC1_beta-lactamase	Escherichia_coli_ampH	Escherichia_coli_emrE	Escherichia_coli_mdfA	H-NS	Klebsiella_pneumoniae_KpnF	Klebsiella_pneumoniae_KpnG	Mef(En2)	OXA-347	RlmA(II)	SAT-1	SAT-4	Tet(X4)	aad(6)	aadA5	aadS	acrB	acrD	acrE	acrF	acrS	bacA	baeR	baeS	catP	catS	cepA_beta-lactamase	cpxA	dfrA14	dfrA17	dfrF	emrA	emrB	emrK	emrR	emrY	eptA	evgA	evgS	gadW	gadX	kdpE	lnuC	lnuD	lsaC	macB	marA	mdtA	mdtB	mdtC	mdtE	mdtF	mdtG	mdtH	mdtM	mdtN	mdtO	mdtP	mel	mphA	mphB	msbA	npmA	patA	patB	pmrF	ramA	sul1	sul2	tet(40)	tet(A)	tet(B)	tet(G)	tet(L)	tet(W/N/W)	tet32	tet44	tetA(46)	tetB(46)	tetB(60)	tetM	tetO	tetQ	tetW	tetX	tolC	ugd	vanG	vanRG	vanTG	vanUG	vanWG	vanXD	vanXYG	yojI
SRS011061-card.tab	9	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS011084-card.tab	18	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	98.53	98.13	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00;90.03	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	89.67	.	97.43	.	.	.	.	.	87.72	.	.	100.00	.
SRS011134-card.tab	15	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	100.00	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	85.26	.	.	.	.	.	.	.	.	.	.	.	.
SRS011239-card.tab	21	.	.	.	.	.	.	.	.	.	.	89.43	.	.	.	.	.	.	100.00	100.00	.	.	100.00;100.00	.	.	.	.	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	89.09	.	.	82.32	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	86.88	97.76	.	.	.	.	.	.	100.00	93.91	100.00	.	.	.	.	.	87.72	.	.	.	.
SRS011271-card.tab	17	86.04	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	98.53	100.00;99.88	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	97.57;95.90	.	100.00	.	.	.	.	.	.	.	.	.	.
SRS011302-card.tab	19	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	80.66	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	90.03	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	98.78	100.00	100.00	.	.	99.43	.	99.81	87.72	.	.	100.00	.
SRS011405-card.tab	17	.	.	.	.	.	.	.	.	.	.	98.87	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	89.92	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	92.80	.	.	.	.	.	.	.	.	.	.
SRS011452-card.tab	10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	98.53	99.88	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	87.93	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	92.38	.	.	.	.	.	.	.	.	.	.	.	.	100.00	98.75	.	.	.	.	.	.	.	.	.	.	.
SRS011529-card.tab	13	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00;100.00	.	.	99.50	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	88.91;97.11	93.59	100.00	.	.	.	.	.	.	.	.	.	.
SRS011586-card.tab	17	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	100.00	90.99	100.00	.	.	.	.	.	.	98.53	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	82.81	.	.	.	.	.	.	100.00	100.00	86.09	.	.	.	.	.	.	.	.	.	.	.
SRS012273-card.tab	52	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	98.53	.	.	.	.	98.49	100.00	.	100.00	100.00	.	100.00	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	.	100.00	100.00	99.76	97.93	100.00	.	.	90.03	100.00	.	.	100.00	100.00	96.30	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.26	100.00	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	98.30	100.00	92.84	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	100.00	.	.	.	.	100.00	97.57	.	.	99.60	100.00	.	.	.	.	.	.	.	100.00
SRS012849-card.tab	23	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	100.00	100.00	.	.	.	100.00	.	98.53	100.00	.	.	.	.	.	.	.	.	.	84.30	100.00	100.00	100.00	.	.	.	.	.	92.78	.	100.00	.	.	.	.	.	99.51	98.34	.	.	.	90.14	99.49	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	81.82	.	.	.	.	91.20	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
SRS012902-card.tab	21	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	89.92;100.00	.	.	100.00	.	.	.	.	.	.	96.90	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	84.63	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.39	.	.	.	.	.	.	.	.	.
SRS012969-card.tab	17	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	100.00	.	.	82.61	.	.	.	.	.	.	.	99.88;100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	84.53	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS013098-card.tab	23	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	100.00	.	.	97.72;100.00	.	.	.	.	.	100.00	98.53	99.88;100.00	86.12	.	.	.	.	.	.	.	.	.	.	.	98.26	100.00	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	90.03;100.00	.	.	.	94.95	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	84.06	100.00	.	.	.	.	.	99.22	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.
SRS013158-card.tab	10	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	94.95	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	97.57;90.37	99.17	.	.	.	.	.	.	.	.	.	.	.
SRS013215-card.tab	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.53	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.
SRS013382-card.tab	9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	93.13;100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	89.92	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS013476-card.tab	15	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	98.53	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	90.03	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	99.43	.	.	87.72	.	.	.	.
SRS013521-card.tab	15	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	96.39	.	100.00	81.26	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	90.03	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	97.57	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS013638-card.tab	16	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	89.23	.	82.53	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	90.03	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.
SRS013639-card.tab	16	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.34	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	90.03	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	97.57	.	100.00	.	.	.	.	.	.	.	.	.	.
SRS013687-card.tab	28	.	96.65	.	.	.	.	.	92.72	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	98.09;94.78	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	94.95	.	.	.	.	.	.	100.00	.	.	.	.	81.82;100.00;82.02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	85.96	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	84.32	100.00;100.00	99.53	.	.	.	.	100.00	97.26;100.00	82.81	100.00	.	.	100.00;99.52	.	100.00	.	96.93	.	100.00	.
SRS013800-card.tab	17	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	99.66	.	.	87.89	100.00	.	.	.	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	92.73	.	.	92.08	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS013940-card.tab	20	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	.	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.26	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	92.81	.	.	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	97.04	.	96.21	.
SRS013951-card.tab	15	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	.	.	.	.	.	98.53	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00;99.80	.	.	.	.	94.95	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	95.78	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.
SRS013965-card.tab	23	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	.	.	.	.	.	100.00	100.00;90.73	100.00	97.43	.	.	.	.	.	87.72	.	.	92.16	.
SRS014235-card.tab	26	.	.	99.65	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	98.14	.	.	80.42	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	99.80	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	100.00	81.72	97.43	.	.	100.00	.	100.00	87.72	.	.	100.00	.
SRS014287-card.tab	18	.	.	.	.	.	.	.	.	.	.	80.38	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	90.03	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	92.25	100.00	100.00	.	.	99.43	.	.	87.72	.	.	100.00	.
SRS014313-card.tab	14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	80.82	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	97.04	.	96.21	.
SRS014344-card.tab	13	.	.	.	.	.	.	.	.	.	.	92.08	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	80.82	.	.	98.53	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	97.57	100.00	.	.	.	.	.	.	.	97.04	.	96.21	.
SRS014391-card.tab	12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.80	.	.	.	.	94.95	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	93.59	100.00	.	.	.	.	.	.	.	.	.	.
SRS014412-card.tab	14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	98.26	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	90.14	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	93.28	.	.	.	.	.	100.00	97.57	93.59	100.00	.	.	.	.	.	.	.	.	.	.
SRS014459-card.tab	17	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	92.59	.	.	100.00	.	.	.	.	.	.	98.53	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	99.84	.	100.00;90.03	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	97.43	.	.	.	99.72	.	.	.	.	.	.
SRS014534-card.tab	8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.
SRS014613-card.tab	20	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	100.00	.	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	99.32	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	97.14	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS014683-card.tab	14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	99.80	90.03	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00;86.63	100.00	97.43	.	.	.	.	.	.	.	.	.	.
SRS014736-card.tab	17	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	99.31	99.86	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	87.97	.	.	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS014855-card.tab	12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	98.53	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.
SRS014923-card.tab	20	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	97.32	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	87.00	.	100.00	.	.	.	.	.	.	.	.	100.00	.	89.92	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	82.98	98.59	97.43	.	.	.	.	.	.	.	.	.	.
SRS014948-card.tab	13	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	97.43	.	.	.	.	.	.	.	.	.	.
