#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	102329	1	1494	+	gspE	1-1494/1494	===============	0/0	100.00	95.31	vfdb	YP_404601	(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103055	1	1011	+	papG	1-1011/1011	===============	0/0	100.00	99.01	vfdb	NP_755458	(papG) P pilus tip adhesin PapG [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103056	6	501	+	papF	36-531/531	.==============	0/0	93.41	99.39	vfdb	NP_755459	(papF) P pilus minor subunit PapF  [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103057	1	522	+	papE	19-540/540	===============	0/0	96.67	94.06	vfdb	NP_755460	(papE) P pilus minor subunit PapE [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103058	1	537	+	papK	4-540/540	===============	0/0	99.44	99.44	vfdb	NP_755461	(papK) P pilus minor subunit PapK [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103059	1	582	+	papJ	1-582/582	===============	0/0	100.00	98.11	vfdb	NP_755463	(papJ) P pilus assembly protein PapJ [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103060	115	720	+	papD	1-606/606	===============	0/0	100.00	99.50	vfdb	NP_755464	(papD) chaperone protein PapD [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	103735	1	1293	+	espX5	1-1293/1293	===============	0/0	100.00	95.90	vfdb	NP_290699	(espX5) Type III secretion system effector EspX5 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	112809	1	551	+	espY2	1-551/570	========/======	2/2	96.49	88.77	vfdb	NP_285765	(espY2) Type III secretion system effector EspY2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	127788	1	1899	+	espL1	1-1899/1899	===============	0/0	100.00	96.31	vfdb	NP_288154	(espL1) Type III secretion system effector espL1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	130244	1	2520	+	papC	4-2523/2523	===============	0/0	99.88	99.29	vfdb	NP_755465	(papC) usher protein PapC [P fimbriae (VF0220)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	130793	1	588	+	yagZ/ecpA	1-588/588	===============	0/0	100.00	98.98	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	130794	1	543	+	ykgK/ecpR	49-591/591	.==============	0/0	91.88	99.08	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	142501	1	858	+	entB	1-858/858	===============	0/0	100.00	98.83	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	156684	1	1253	+	espR1	1-1253/1260	===============	0/0	99.44	94.33	vfdb	NP_287686	(espR1) Type III secretion system effector espR1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	157455	1	1422	+	espX1	1-1422/1422	===============	0/0	100.00	95.92	vfdb	NP_285716	(espX1) Type III secretion system effector EspX1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162633	1	1029	+	chuS	1-1029/1029	===============	0/0	100.00	96.40	vfdb	NP_756169	(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162634	1	1983	+	shuA	1-1983/1983	===============	0/0	100.00	98.49	vfdb	YP_405019	(shuA) outer membrane heme/hemoglobin receptor ShuA [Shu (VF0256)] [Shigella dysenteriae Sd197]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162635	1	915	+	shuT	79-993/993	.==============	0/0	92.15	98.03	vfdb	YP_405017	(shuT) periplasmic binding protein ShuT [Shu (VF0256)] [Shigella dysenteriae Sd197]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162636	1	1338	+	chuW	1-1338/1338	===============	0/0	100.00	96.79	vfdb	NP_756176	(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162637	1	495	+	shuX	1-495/495	===============	0/0	100.00	96.36	vfdb	YP_405016	(shuX) shu locus protein ShuX [Shu (VF0256)] [Shigella dysenteriae Sd197]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162638	1	624	+	chuY	1-624/624	===============	0/0	100.00	96.47	vfdb	NP_756178	(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073]	
/home/ptrinh88/hmp_data/genecalls/SRS017191-genecalls.fa	162639	1	957	+	chuU	37-993/993	===============	0/0	96.37	96.45	vfdb	NP_756179	(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073]	
